reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,What is electronegativity and elektrodepotential?
How lithium behaves as a strong reducing agent?,Why lithium is a strong reducing agent?
How come Li has more reduction potential than Na or K?,Why is there so much more electrons attracted to the N than Li?
Does more reactive imply a greater reducing potential?,Why is there so much more electrons attracted to the N than Li?
How come Li has more reduction potential than Na or K?,Why is Lithium stronger than other alkali metals?
Does more reactive imply a greater reducing potential?,Is lithium a stronger reducing agent than any other alkali metal?
Why do lone pairs of electrons form hybrid orbitals?,Is lone pair of electrons form hybrid orbitals?
Why Nitrogen needs sp3 Hybridization to form ammonia?,What would form ammonia?
Why lone pairs of electrons have their own hybridized orbitals?,Why a single electron has a greater chance of forming a bond?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,Is the Oxygen being shared with each other?
Does one classify the H2O molecules as solid or liquid?,Does one classify the H2O molecules as solid or liquid?
Does one classify the H2O molecules as solid or liquid?,Does one classify the H2O molecules as solid or liquid?
Is there a limit to that the steam will get hotter?,Is there a limit to that the steam would get hotter?
Does applying more heat not change the average kinetic energy?,Is this the substance a superfluid or something else?
Is a non spontaneous reaction always a reverse reaction?,If dG0 reaction is spontaneous in the opposite direction?
What is the meaning of the equilibrium constant?,Is there a constant correlation between the reaction and NA?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,Isomers are the same type of molecule or both?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,Why is nitrogen more abundant on earth?
How to calculate the frequency of the fire?,What is the frequency of the fire element?
How will the viscosity of liquid be affected by increase in temperature?,What happens to the viscosity of liquid?
How will the viscosity of liquid be affected by increase in temperature?,How does the viscosity of liquid change?
What gives an electron a negative charge and what gives a proton a positive charge?,Is the proton a protons a positive charge?
What gives an electron a negative charge and what gives a proton a positive charge?,Is electron a subatomic particle and does it have a negative charge?
Why do they always say 'atomic weight' on the periodic table?,Does that mean to any person with the same distribution of isotopes on earth?
Why do strong acid and bases give 100% ionization?,What is the point of acid strength?
what is the difference if atomic weight and atomic mass are not the same thing?,Is it the atomic mass or atom?
Is surface tension responsible for the pain felt by a person?,Is surface tension responsible for the pain felt?
Is surface tension responsible for the pain felt by a person?,Is there any difference in the amount of pain caused by a falling into water?
Why didn't only one drop leak out?,Isn't all the NA molecules struggling to overflow?
What was happening molecularly to the surface of the water?,Isn't all the NA molecules struggling to overflow?
How surface tension applies to the shape of water droplet?,Why does surface tension apply to the shape of water droplet?
Why don't the oxygen atoms in the air bond to the water molecules on the surface and pull on water molecules?,What is the amount of oxygen in the air attached to the water molecules?
How does water evaporate?,How do the molecules in the water break out and enter the air?
What happens to the water at the bottom of the container?,How does the surface of the water become dense?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",Why the water at the bottom of the paper clip is less dense?
How does the brain get the oxygen and glucose it needs?,How does the body get the oxygen and glucose it needs?
Why is the brain included in central nervous system?,What is the brain and spinal chord part of central nervous system?
Are the cranial nerves part of the CNS and the spinal nerves part of the PNS?,What are the cranial nerves and spinal nerves that are connected?
Why the sensory neurons in the ganglia have axons that carry impulses towards the soma instead of dendrites that carry impulses towards the soma?,What is the difference between the axons and dendrites in the body?
What does surface area have to do with how much energy it takes for these transfers to occur?,Is the surface area the only cell that has a higher SA:V?
How to know it is not there without fulfilling the octet rule?,What happens to the octet rule?
How does oxygen get a triple bond with carbon?,What happens to the lack of the second oxygen?
How does oxygen get a triple bond with carbon?,How does carbon get a triple bond with carbon?
